frame_index,timestamp_s,inference_latency_ms,detection_count,max_confidence
0,0.0,109.141,2,0.614359
1,0.033333,106.098,2,0.56754
2,0.066667,106.277,2,0.558696
3,0.1,108.96,2,0.551856
4,0.133333,105.062,2,0.564988
5,0.166667,106.862,1,0.568422
6,0.2,107.437,1,0.584413
7,0.233333,105.84,1,0.622004
8,0.266667,107.39,1,0.668274
9,0.3,104.103,1,0.715449
10,0.333333,103.517,1,0.73377
11,0.366667,103.603,1,0.773524
12,0.4,109.867,1,0.701301
13,0.433333,114.143,1,0.731037
14,0.466667,113.918,1,0.73106
15,0.5,110.037,1,0.754023
16,0.533333,105.858,1,0.789338
17,0.566667,106.56,1,0.786793
18,0.6,113.548,1,0.792938
19,0.633333,108.137,1,0.783444
20,0.666667,106.022,1,0.751987
21,0.7,105.542,1,0.751707
22,0.733333,105.269,1,0.686009
23,0.766667,103.658,1,0.708335
24,0.8,102.075,1,0.598678
25,0.833333,102.425,1,0.51372
26,0.866667,105.333,1,0.514269
27,0.9,104.866,1,0.488506
28,0.933333,109.118,1,0.733399
29,0.966667,106.432,1,0.800454
30,1.0,103.177,1,0.701829
31,1.033333,103.104,1,0.550031
32,1.066667,106.072,1,0.61128
33,1.1,101.845,1,0.656454
34,1.133333,104.929,1,0.695453
35,1.166667,103.776,1,0.679883
36,1.2,104.734,1,0.692553
37,1.233333,103.625,1,0.783832
38,1.266667,107.241,1,0.71068
39,1.3,104.163,1,0.776816
40,1.333333,102.412,1,0.782447
41,1.366667,105.88,1,0.704555
42,1.4,104.169,1,0.616425
43,1.433333,104.012,1,0.681138
44,1.466667,104.605,1,0.881908
45,1.5,104.901,1,0.876916
46,1.533333,104.96,1,0.878706
47,1.566667,104.145,1,0.88612
48,1.6,106.585,1,0.84244
49,1.633333,103.666,1,0.74728
50,1.666667,106.052,1,0.753721
51,1.7,105.823,1,0.790571
52,1.733333,103.202,1,0.813363
53,1.766667,103.751,1,0.806006
54,1.8,103.777,1,0.871934
