added_delay_ms,trial,intended_messages,delivered_messages,delivery_rate_pct,mean_end_to_end_latency_ms,p50_end_to_end_latency_ms,p95_end_to_end_latency_ms
0,1,20,20,100.0,6.836,6.403,12.171
0,2,20,20,100.0,0.754,0.595,1.751
0,3,20,20,100.0,0.639,0.491,1.441
25,1,20,20,100.0,32.244,32.583,35.723
25,2,20,20,100.0,32.429,32.802,35.607
25,3,20,20,100.0,32.761,33.238,34.535
50,1,20,20,100.0,58.201,57.616,63.469
50,2,20,20,100.0,58.246,58.418,62.142
50,3,20,20,100.0,58.85,58.348,62.447
100,1,20,20,100.0,107.578,108.116,109.911
100,2,20,20,100.0,108.129,108.681,110.782
100,3,20,20,100.0,107.399,107.07,109.778
200,1,20,20,100.0,207.955,207.916,210.415
200,2,20,20,100.0,207.429,207.846,209.793
200,3,20,20,100.0,208.333,208.117,210.515
