injected_packet_loss_pct,trial,intended_messages,injected_dropped_messages,published_messages,delivered_messages,delivery_rate_pct,post_publish_delivery_rate_pct
0,1,100,0,100,100,100.0,100.0
0,2,100,0,100,100,100.0,100.0
0,3,100,0,100,100,100.0,100.0
5,1,100,5,95,95,95.0,100.0
5,2,100,5,95,95,95.0,100.0
5,3,100,6,94,94,94.0,100.0
10,1,100,11,89,89,89.0,100.0
10,2,100,11,89,89,89.0,100.0
10,3,100,14,86,86,86.0,100.0
20,1,100,17,83,83,83.0,100.0
20,2,100,15,85,85,85.0,100.0
20,3,100,18,82,82,82.0,100.0
30,1,100,32,68,68,68.0,100.0
30,2,100,28,72,72,72.0,100.0
30,3,100,37,63,63,63.0,100.0
40,1,100,37,63,63,63.0,100.0
40,2,100,36,64,64,64.0,100.0
40,3,100,41,59,59,59.0,100.0
