frame_index,timestamp_s,inference_latency_ms,detection_count,max_confidence
0,0.0,126.362,2,0.614359
5,0.166667,115.234,1,0.568422
10,0.333333,107.385,1,0.73377
15,0.5,104.699,1,0.754023
20,0.666667,115.928,1,0.751987
25,0.833333,111.14,1,0.51372
30,1.0,110.255,1,0.701829
35,1.166667,110.429,1,0.679883
40,1.333333,109.922,1,0.782447
45,1.5,108.855,1,0.876916
50,1.666667,109.395,1,0.753721
55,1.833333,105.841,1,0.885699
60,2.0,111.389,1,0.891029
65,2.166667,108.409,1,0.816478
70,2.333333,111.011,1,0.856597
75,2.5,108.835,1,0.801586
80,2.666667,107.912,1,0.856437
85,2.833333,107.443,1,0.871846
90,3.0,108.55,1,0.883712
95,3.166667,110.231,1,0.862183
100,3.333333,114.277,1,0.880535
105,3.5,119.462,1,0.899186
110,3.666667,105.587,1,0.907855
115,3.833333,105.689,1,0.903362
120,4.0,105.723,1,0.904217
125,4.166667,106.149,1,0.917183
130,4.333333,107.541,1,0.907788
135,4.5,106.186,1,0.910984
140,4.666667,106.625,1,0.917857
145,4.833333,111.257,1,0.918063
150,5.0,105.284,1,0.91667
155,5.166667,118.921,1,0.913689
160,5.333333,121.402,1,0.909936
165,5.5,111.759,1,0.921693
170,5.666667,111.45,1,0.922092
175,5.833333,106.42,1,0.911015
180,6.0,105.37,1,0.919644
185,6.166667,104.363,1,0.913725
190,6.333333,106.405,1,0.90011
195,6.5,107.47,1,0.896522
200,6.666667,105.704,1,0.904707
205,6.833333,108.271,1,0.896709
210,7.0,104.629,1,0.892224
215,7.166667,106.049,1,0.904734
220,7.333333,105.964,1,0.902532
225,7.5,106.597,1,0.901815
230,7.666667,108.318,1,0.899625
235,7.833333,104.736,1,0.903042
240,8.0,104.652,1,0.904817
245,8.166667,106.99,1,0.907654
250,8.333333,106.63,1,0.898534
255,8.5,105.313,1,0.895819
260,8.666667,107.598,1,0.909682
265,8.833333,109.956,1,0.917343
270,9.0,116.165,1,0.899438
275,9.166667,108.491,1,0.89423
280,9.333333,106.549,1,0.899972
285,9.5,106.966,1,0.901431
290,9.666667,108.072,1,0.89604
295,9.833333,106.627,1,0.89024
300,10.0,107.667,1,0.89108
305,10.166667,106.037,1,0.885393
310,10.333333,111.432,1,0.891385
315,10.5,104.8,1,0.906566
320,10.666667,126.779,1,0.910959
325,10.833333,115.225,1,0.909229
330,11.0,105.663,1,0.909781
335,11.166667,106.544,1,0.901055
340,11.333333,109.235,1,0.89803
345,11.5,106.464,1,0.898343
350,11.666667,108.414,1,0.88574
355,11.833333,106.896,1,0.839162
360,12.0,106.734,1,0.855005
365,12.166667,107.451,1,0.874542
370,12.333333,107.167,1,0.879677
375,12.5,104.504,1,0.879974
380,12.666667,105.923,1,0.887487
385,12.833333,105.074,1,0.879125
390,13.0,107.304,1,0.86527
395,13.166667,107.573,1,0.864281
400,13.333333,110.584,1,0.863947
405,13.5,107.28,1,0.876048
410,13.666667,109.182,1,0.882166
415,13.833333,105.61,1,0.893633
420,14.0,106.746,1,0.892791
425,14.166667,113.253,1,0.897566
430,14.333333,105.603,1,0.892753
435,14.5,107.434,1,0.907395
440,14.666667,107.56,1,0.900562
445,14.833333,107.301,1,0.898667
450,15.0,106.763,2,0.889304
455,15.166667,108.872,1,0.881723
460,15.333333,106.435,1,0.87849
465,15.5,107.044,1,0.885235
470,15.666667,106.587,1,0.898412
475,15.833333,108.521,1,0.896257
480,16.0,107.48,1,0.876956
485,16.166667,119.444,1,0.854167
490,16.333333,117.007,1,0.860994
495,16.5,108.058,1,0.870853
500,16.666667,106.81,1,0.871732
505,16.833333,107.741,1,0.887172
510,17.0,106.325,1,0.888823
515,17.166667,105.761,1,0.885405
520,17.333333,108.892,1,0.882615
525,17.5,109.233,1,0.871851
530,17.666667,117.581,1,0.879759
535,17.833333,107.652,1,0.858743
540,18.0,107.203,1,0.858489
545,18.166667,107.991,2,0.857772
550,18.333333,106.967,1,0.851706
555,18.5,107.639,1,0.856682
560,18.666667,107.21,1,0.859198
565,18.833333,106.562,1,0.858283
570,19.0,107.36,1,0.84851
575,19.166667,107.956,1,0.850585
580,19.333333,107.956,1,0.853603
585,19.5,104.26,1,0.865951
590,19.666667,107.124,1,0.865836
595,19.833333,108.485,1,0.869413
